uniprot	pca0	pca1	pca2	pca3	pca4	pca5
TLX2	3.05568015705641	2.5988637110624135	1.4449419039260158	1.3215285746322065	1.1771984992940392	1.8203376411497119
TM138	0.8565583906271594	2.2941200720564114	2.403202444998443	1.6925357321778822	2.117428584401567	2.269403633513117
TM148	2.309590612196165	1.4231416923718885	1.706012084792122	1.598772504203433	2.1003673358037216	2.1340350094640925
TM10B	2.3789203932471947	1.3830285333823071	1.8805617777576389	1.6603848091227875	2.2882171785654624	2.258030177788699
PHF10	3.832568410746021	3.9298984104175303	2.0264070859001806	2.400905629069867	2.06306247622483	2.4778627680468586
PP4P1	1.0981995337434816	2.367966083244492	2.95565925676767	1.7892778356124617	2.0461647443289754	2.1709876733012274
PRNT	1.749935727061514	1.4933140048055775	0.9847578159455992	2.563735387602614	1.867683394652611	2.354056203209939
PRG2	1.5173297407833992	1.565133516944016	0.7600087882766164	2.9174077528546993	1.7655529630552877	2.3857925670781217
PRSR2	2.468665832619463	1.5328832736602287	2.1979751976369166	2.015897869121466	1.938796443994643	2.3016611093660915
PRPH2	0.6239524043490448	2.3659395841948494	2.1784534173294605	2.0462080974299677	2.0152981528042435	2.3011399973813003
PRGC1	3.482765940071542	2.527458936101494	2.6957868644248864	2.3546039569986608	1.0801377500751024	1.9267811045175058
PRC2A	3.096508640936225	1.9875283248721167	2.663202998027652	2.6642159973787956	1.9828876950036285	1.5276209159926255
PRAM	2.5286201176992313	1.78826650803613	2.0737648106208333	2.263620930331352	2.2008521683537396	1.8606618435480073
PRC2B	2.739435670090763	1.8125344710888613	2.4457725695207655	2.251925036686215	1.599548900234561	2.4348724135893076
PPM1M	2.718419472144666	2.0452348442530224	1.626292980886538	1.7021139027401504	2.3761961778568126	2.4073849957946285
PTSS1	1.4221321578268582	2.3046896534037438	3.343788808171781	1.8555187132848219	2.0642808318605046	3.0512511454506526
PSN2	1.2907420711485025	2.2837687956908113	2.9983724240332115	1.7729457098221124	2.096394507477818	2.7216220358821777
PTPRM	0.5263999098679781	2.7882221739203312	2.0297672378682323	2.9817917396723574	1.94983416632073	2.070006090480823
PVR	0.22054113357569904	2.88202920160238	1.911932177396158	3.3420686197019727	1.8253265499081943	1.7758107868546853
RAD50	3.225595877490994	2.328954155619012	2.5926856933808877	2.4552911908903305	2.6874081971118176	3.2055147824658015
RECO	1.8593186742615488	2.2816927846801733	1.6391000441724624	2.239283917499129	2.9168601300783443	1.7451387181153302
RBM4	3.5555273629370947	3.228248393572523	2.31927779149407	2.7373310961299415	2.8319929545898304	1.9625804804065243
RAB10	2.551762677360767	1.9064971097606704	3.7142157527470188	2.7981938121376237	2.10949049520699	2.33979191367068
RIC1	2.3025000332606074	1.949969634198625	2.8037428304754393	2.6469429832584574	2.5107153579020536	1.539175546154993
